context,Printed line is thinner than desired.,Context1
context,Excess filament is squished upwards at the edges of the current printing line creating a rough surface and wavy patterns.,Context2
context,Filament is getting torn off the bed when the next neighbouring line is printed.,Context3
context,Finished prints are hard to remove from the print bed.,Context4
context,"When looking at the bottom of your printed object, you can clearly make out individual lines with a noticeable gap between each line.",Context5
context,"During printing the first layer, the individual lines are not touching each other.",Context6
context,There’s small gaps where the lines of the infill are not touching the outlines of the wall.,Context7
context,"The shape of the extruding line is very round. With the proper distance, extruded line is slightly squished, pancake shaped.",Context8
context,Individual printed lines are barely sticking to the build plate.,Context9
context,Parts are warping off the build plate or become loose during the prints.,Context10
context,"Your print is lifting off the bed, such as warping, or returning to your printer with a birds nest.",Context11
context,Nozzle too close to the bed,Context12
context,Nozzle too far away from the print bed,Context13
context,"The left side of your nozzle is too close and the right side it is fine or even too high up, your bed is most likely at an angle – not level with the nozzle. Same goes for front and back and of course this can happen in both axis at the same time.",Context14
context,"You see debris from a previous print, dust, gunk, spots, etc",Context15
context,"You see lumps, build-up or an uneven coat of your favourite bed adhesive.",Context16
context,You see some dents in the otherwise smooth bottom surface of a finished print.,Context17
context,The extruder can’t keep up with pushing filament through at this speed and you see [Under Extrusion],Context18
context,Under extrusion,Context19
context,Over extrusion,Context20
context,Infill leaving gaps,Context21
context,walls turn out too thin,Context22
context,layers not thick enough (not squished),Context23
context,prints not sticking / warping,Context24
context,rough corners,Context25
context,curling or sloppy overhangs,Context26
context,Elephant foot,Context27
context,curling close to the bed,Context28
context,your part cooling fan is spinning while printing the first layer you need to look at your fan settings.,Context29
error,Nozzle too close to the bed,Error1
error,Nozzle too far away from the print bed,Error2
error,Print Not Sticking,Error3
error,lack of adhesion between layers,Error4
error,Platform not level,Error5
error,Platform is warped,Error6
error,Your bed is not clean,Error7
error,Print First layer too fast,Error8
error,Wrong extrusion settings,Error9
error,Print temperature for first layer,Error10
error,Bed temperature for first layer,Error11
error,Part cooling fan settings,Error12
inspection_method,"use a steel ruler or a straight edge, put it onto your bed and look at the gap between the edge and the bed.",Inspection_method1
inspection_method,"if you levelled the bed for all 4 corners, but the midpoint or some random points on the bed are off, then your bed is warped (or the axis bent)",Inspection_method2
issue,First Layer Issues,Issue1
issue,Print Not Sticking To The Bed,Issue2
issue,Prints Sticking Too Much,Issue3
issue,Warping,Issue4
issue,Under Extrusion,Issue5
issue,Over Extrusion,Issue6
issue,Filament Not Feeding Properly,Issue7
issue,Extruder Is Grinding Filament,Issue8
issue,Extruder Is Crushing Filament,Issue9
issue,Other Filament Issues,Issue10
issue,Clogged Nozzle,Issue11
issue,Other Blockages,Issue12
issue,Stringing and Oozing,Issue13
issue,Overheating,Issue14
issue,Elephants Foot,Issue15
issue,Walls Caving In,Issue16
issue,Curling and Rough Corners,Issue17
issue,Cracking or Layer Separation,Issue18
issue,Layers Shifting & Misaligned Layers,Issue19
issue,Layers Missing or Skipped Layers,Issue20
issue,Weak or Under-Extruded Infill,Issue21
issue,Deformed Infill,Issue22
issue,Insufficient Retractions,Issue23
issue,Blobs and 3D Printing Zits,Issue24
issue,Infill Poking Through Outline,Issue25
issue,Scratches on Top Layers,Issue26
issue,Gaps & Holes,Issue27
issue,Small Parts & Features Not Printing,Issue28
issue,Lines On The Side Of Your Prints,Issue29
issue,Temperature Variations,Issue30
issue,Vibrations and 3D Printing Ringing,Issue31
issue,Dimensional Accuracy Of Your Prints,Issue32
issue,Circles Are Not Round,Issue33
issue,Leaning Prints,Issue34
issue,Poor Surface Quality Above Supports,Issue35
issue,Failing Supports,Issue36
issue,Poor Bridging,Issue37
issue,Stringy & Droopy Overhangs,Issue38
issue,Molten/Deformed Prints,Issue39
issue,Burnt Stuff Dripping On Your Print,Issue40
issue,Popping Noises Coming From Your Nozzle,Issue41
issue,Steam/Smoke Coming Out Of Your Nozzle,Issue42
issue,Clicking Motors,Issue43
issue,I Cannot Print Model X,Issue44
label,content,name
product_component,nozzle,Product_component1
product_component,print bed,Product_component2
product_component,bed level sensor,Product_component3
product_component,isopropyl alcohol/isopropanol/pure acetone recommendation,Product_component4
product_component,3D printer model info ,Product_component5
product_component,3D printer manufacturer's instruction,Product_component6
service _module,first layer thickness recommendation,Service_module1
service _module,print speed recommendation,Service_module2
service _module,bed temperature recommendation,Service_module3
solution,Adjust nozzle to bed distance either by tightening the 3 or 4 levelling screws of your printer and using thicker paper stock for manual bed levelling or by adjusting your z-offset value when using a bed levelling sensor. Make sure you’re not pressing down on your bed when levelling it.,Solution1
solution,Adjust nozzle to bed distance either by loosening the 3 or 4 levelling screws of your printer and using thinner paper stock (receipt paper is good) for manual bed levelling or by adjusting your z-offset value when using a bed levelling sensor. Make sure you’re not pressing the bed upwards while levelling manually.,Solution2
solution,"adjusting 3 or 4 screws under the print bed: In order to do so:

(1) Heat up your bed and nozzle to proper printing temperature, retract filament a bit and make sure the nozzle is clean (and no filament is oozing out during the levelling process).
(2) Move the heated nozzle to the first corner of the bed.
(3) Slide a piece of paper between the bed and the nozzle. Loosen or tighten the bed level for that corner screw until you notice a bit of drag when sliding the paper under it.
(4) Continue to the next corner, position your nozzle over it, adjust the screw so you get the same amount of drag.
(5) Do so for at least all for corners, then check the middle of the bed.",Solution3
solution,print a very thick first layer(but do not exceed maximum layer height = 75% nozzle size. i.e. 0.3mm for a 0.4mm nozzle),Solution4
solution,try printing with a raft,Solution5
solution,pick a smaller area in the center of the build plate and try to level it as best as possible there,Solution6
solution,"Degrease your bed surface regularly according to the manufacturer’s instructions. Use either isopropyl alcohol/isopropanol in a high concentration or pure acetone. Stay away from window cleaners, dish washing liquids and soaps, especially those who are supposed to be good for your skin, as most of them will leave a residue behind that will negatively affect bed adhesion.",Solution7
solution,"Every proper slicer out there has the option to specify a different print speed for your first layer. In Cura, it is called “Initial Layer speed”. In Simplify3D it is called “First Layer Speed”. We're pretty sure your slicer has this setting as well, under some variation of those names. Usually a speed of 30mm/s or less is good for the first layer, you can increase the speed later on but experimenting is key.",Solution8
solution,Calibrate the extruder steps required to extrude the requested amount of filament.,Solution9
solution,Check your extrusion multiplier in your slicer software to ensure proper amount of filament is extruded.,Solution10
solution,Check that you selected the proper filament size (1.75mm/2.85mm/3.00mm) in your slicer.,Solution11
solution,"Ensure filament can be transported properly (i.e. filament unspools freely from the spool, no excess friction in the filament path).",Solution12
solution,Ensure nozzle isn’t blocked or partially blocked. This is a very common cause of under-extrusion or uneven extrusion. See [Clogged Nozzle].,Solution13
solution,Almost all slicers out there will allow you to set a different print temperature for your first/initial layer. Use this feature to adjust bed adhesion without it affecting the rest of your print.,Solution14
solution,"Look up the glass transition temperature of the material you’re printing. Ensure your bed temperature is at least around 10°C below the glass transition temperature. If your bed is far below the glass transition temperature and you’re having trouble with your print not sticking, increase your bed temperature in 5°C increments until the issue is resolved (staying below the GT temp)",Solution15
solution,Disable the part cooling fan for the first layer.,Solution16
